date,home_team,away_team,result_found,matched_result_key,status,home_goals,away_goals,reason_if_not_matched
2026-06-11,Mexico,South Africa,True,2026-06-11|Mexico|South Africa,completed,2.0,0.0,
2026-06-11,South Korea,Czech Republic,True,2026-06-11|South Korea|Czech Republic,completed,2.0,1.0,
2026-06-12,Canada,Bosnia and Herzegovina,True,2026-06-12|Canada|Bosnia and Herzegovina,completed,1.0,1.0,
2026-06-12,United States,Paraguay,True,2026-06-12|United States|Paraguay,completed,4.0,1.0,
2026-06-13,Qatar,Switzerland,True,2026-06-13|Qatar|Switzerland,completed,1.0,1.0,
2026-06-13,Brazil,Morocco,True,2026-06-13|Brazil|Morocco,completed,1.0,1.0,
2026-06-13,Haiti,Scotland,True,2026-06-13|Haiti|Scotland,completed,0.0,1.0,
2026-06-13,Australia,Turkey,False,,scheduled,,,missing_result_for_key
2026-06-14,Germany,Curaçao,True,2026-06-14|Germany|Curaçao,completed,7.0,1.0,
2026-06-14,Ivory Coast,Ecuador,True,2026-06-14|Ivory Coast|Ecuador,completed,1.0,0.0,
2026-06-14,Netherlands,Japan,True,2026-06-14|Netherlands|Japan,completed,2.0,2.0,
2026-06-14,Sweden,Tunisia,True,2026-06-14|Sweden|Tunisia,completed,5.0,1.0,
2026-06-15,Belgium,Egypt,True,2026-06-15|Belgium|Egypt,completed,1.0,1.0,
2026-06-15,Iran,New Zealand,True,2026-06-15|Iran|New Zealand,completed,2.0,2.0,
2026-06-15,Saudi Arabia,Uruguay,True,2026-06-15|Saudi Arabia|Uruguay,completed,1.0,1.0,
2026-06-15,Spain,Cape Verde,True,2026-06-15|Spain|Cape Verde,completed,0.0,0.0,
2026-06-16,France,Senegal,True,2026-06-16|France|Senegal,completed,3.0,1.0,
2026-06-16,Iraq,Norway,True,2026-06-16|Iraq|Norway,completed,1.0,4.0,
2026-06-16,Argentina,Algeria,True,2026-06-16|Argentina|Algeria,completed,3.0,0.0,
2026-06-16,Austria,Jordan,True,2026-06-16|Austria|Jordan,completed,3.0,1.0,
2026-06-17,Portugal,DR Congo,True,2026-06-17|Portugal|DR Congo,completed,1.0,1.0,
2026-06-17,Uzbekistan,Colombia,True,2026-06-17|Uzbekistan|Colombia,completed,1.0,3.0,
2026-06-17,England,Croatia,True,2026-06-17|England|Croatia,completed,4.0,2.0,
2026-06-17,Ghana,Panama,True,2026-06-17|Ghana|Panama,completed,1.0,0.0,
2026-06-18,Czech Republic,South Africa,True,2026-06-18|Czech Republic|South Africa,completed,1.0,1.0,
2026-06-18,Mexico,South Korea,True,2026-06-18|Mexico|South Korea,completed,1.0,0.0,
2026-06-18,Canada,Qatar,True,2026-06-18|Canada|Qatar,completed,6.0,0.0,
2026-06-18,Switzerland,Bosnia and Herzegovina,True,2026-06-18|Switzerland|Bosnia and Herzegovina,completed,4.0,1.0,
2026-06-19,Brazil,Haiti,True,2026-06-19|Brazil|Haiti,completed,3.0,0.0,
2026-06-19,Scotland,Morocco,True,2026-06-19|Scotland|Morocco,completed,0.0,1.0,
2026-06-19,Turkey,Paraguay,False,,scheduled,,,missing_result_for_key
2026-06-19,United States,Australia,True,2026-06-19|United States|Australia,completed,2.0,0.0,
2026-06-20,Ecuador,Curaçao,True,2026-06-20|Ecuador|Curaçao,completed,0.0,0.0,
2026-06-20,Germany,Ivory Coast,True,2026-06-20|Germany|Ivory Coast,completed,2.0,1.0,
2026-06-20,Netherlands,Sweden,True,2026-06-20|Netherlands|Sweden,completed,5.0,1.0,
2026-06-20,Tunisia,Japan,True,2026-06-20|Tunisia|Japan,completed,0.0,4.0,
2026-06-21,Belgium,Iran,True,2026-06-21|Belgium|Iran,completed,0.0,0.0,
2026-06-21,New Zealand,Egypt,True,2026-06-21|New Zealand|Egypt,completed,1.0,3.0,
2026-06-21,Spain,Saudi Arabia,True,2026-06-21|Spain|Saudi Arabia,completed,4.0,0.0,
2026-06-21,Uruguay,Cape Verde,True,2026-06-21|Uruguay|Cape Verde,completed,2.0,2.0,
2026-06-22,France,Iraq,True,2026-06-22|France|Iraq,completed,3.0,0.0,
2026-06-22,Norway,Senegal,True,2026-06-22|Norway|Senegal,completed,3.0,2.0,
2026-06-22,Argentina,Austria,True,2026-06-22|Argentina|Austria,completed,2.0,0.0,
2026-06-22,Jordan,Algeria,True,2026-06-22|Jordan|Algeria,completed,1.0,2.0,
2026-06-23,Colombia,DR Congo,True,2026-06-23|Colombia|DR Congo,completed,1.0,0.0,
2026-06-23,Portugal,Uzbekistan,True,2026-06-23|Portugal|Uzbekistan,completed,5.0,0.0,
2026-06-23,England,Ghana,True,2026-06-23|England|Ghana,completed,0.0,0.0,
2026-06-23,Panama,Croatia,True,2026-06-23|Panama|Croatia,completed,0.0,1.0,
2026-06-24,Czech Republic,Mexico,True,2026-06-24|Czech Republic|Mexico,completed,0.0,3.0,
2026-06-24,South Africa,South Korea,True,2026-06-24|South Africa|South Korea,completed,1.0,0.0,
2026-06-24,Bosnia and Herzegovina,Qatar,True,2026-06-24|Bosnia and Herzegovina|Qatar,completed,3.0,1.0,
2026-06-24,Switzerland,Canada,True,2026-06-24|Switzerland|Canada,completed,2.0,1.0,
2026-06-24,Morocco,Haiti,True,2026-06-24|Morocco|Haiti,completed,4.0,2.0,
2026-06-24,Scotland,Brazil,True,2026-06-24|Scotland|Brazil,completed,0.0,3.0,
2026-06-25,Paraguay,Australia,True,2026-06-25|Paraguay|Australia,completed,0.0,0.0,
2026-06-25,Turkey,United States,False,,scheduled,,,missing_result_for_key
2026-06-25,Curaçao,Ivory Coast,True,2026-06-25|Curaçao|Ivory Coast,completed,0.0,2.0,
2026-06-25,Ecuador,Germany,True,2026-06-25|Ecuador|Germany,completed,2.0,1.0,
2026-06-25,Japan,Sweden,True,2026-06-25|Japan|Sweden,completed,1.0,1.0,
2026-06-25,Tunisia,Netherlands,True,2026-06-25|Tunisia|Netherlands,completed,1.0,3.0,
2026-06-26,Egypt,Iran,True,2026-06-26|Egypt|Iran,completed,1.0,1.0,
2026-06-26,New Zealand,Belgium,True,2026-06-26|New Zealand|Belgium,completed,1.0,5.0,
2026-06-26,Cape Verde,Saudi Arabia,True,2026-06-26|Cape Verde|Saudi Arabia,completed,0.0,0.0,
2026-06-26,Uruguay,Spain,True,2026-06-26|Uruguay|Spain,completed,0.0,1.0,
2026-06-26,Norway,France,True,2026-06-26|Norway|France,completed,1.0,4.0,
2026-06-26,Senegal,Iraq,True,2026-06-26|Senegal|Iraq,completed,5.0,0.0,
2026-06-27,Algeria,Austria,True,2026-06-27|Algeria|Austria,completed,3.0,3.0,
2026-06-27,Jordan,Argentina,True,2026-06-27|Jordan|Argentina,completed,1.0,3.0,
2026-06-27,Colombia,Portugal,True,2026-06-27|Colombia|Portugal,completed,0.0,0.0,
2026-06-27,DR Congo,Uzbekistan,True,2026-06-27|DR Congo|Uzbekistan,completed,3.0,1.0,
2026-06-27,Croatia,Ghana,True,2026-06-27|Croatia|Ghana,completed,2.0,1.0,
2026-06-27,Panama,England,True,2026-06-27|Panama|England,completed,0.0,2.0,
2026-06-28,South Africa,Canada,True,2026-06-28|South Africa|Canada,completed,0.0,1.0,
2026-06-29,Brazil,Japan,True,2026-06-29|Brazil|Japan,completed,2.0,1.0,
2026-06-29,Germany,Paraguay,True,2026-06-29|Germany|Paraguay,completed,1.0,1.0,
2026-06-30,Netherlands,Morocco,True,2026-06-30|Netherlands|Morocco,completed,1.0,1.0,
2026-06-30,Ivory Coast,Norway,True,2026-06-30|Ivory Coast|Norway,completed,1.0,2.0,
2026-06-30,France,Sweden,True,2026-06-30|France|Sweden,completed,3.0,0.0,
2026-07-01,Mexico,Ecuador,True,2026-07-01|Mexico|Ecuador,completed,2.0,0.0,
2026-07-01,England,Congo DR,True,2026-07-01|England|Congo DR,completed,2.0,1.0,
2026-07-01,Belgium,Senegal,True,2026-07-01|Belgium|Senegal,completed,3.0,2.0,
2026-07-02,United States,Bosnia-Herzegovina,True,2026-07-02|United States|Bosnia-Herzegovina,completed,2.0,0.0,
2026-07-02,Spain,Austria,True,2026-07-02|Spain|Austria,completed,3.0,0.0,
2026-07-02,Portugal,Croatia,True,2026-07-02|Portugal|Croatia,completed,2.0,1.0,
2026-07-03,Switzerland,Algeria,True,2026-07-03|Switzerland|Algeria,completed,2.0,0.0,
2026-07-03,Australia,Egypt,True,2026-07-03|Australia|Egypt,completed,1.0,1.0,
2026-07-03,Argentina,Cape Verde,True,2026-07-03|Argentina|Cape Verde,completed,3.0,2.0,
2026-07-04,Canada,Morocco,False,,scheduled,,,missing_result_for_key
2026-07-04,Paraguay,France,False,,scheduled,,,missing_result_for_key
2026-07-04,Colombia,Ghana,True,2026-07-04|Colombia|Ghana,completed,1.0,0.0,
2026-07-05,Brazil,Norway,False,,scheduled,,,missing_result_for_key
2026-07-06,Mexico,England,False,,scheduled,,,missing_result_for_key
2026-07-06,Portugal,Spain,False,,scheduled,,,missing_result_for_key
2026-07-07,United States,Belgium,False,,scheduled,,,missing_result_for_key
2026-07-07,Argentina,Egypt,False,,scheduled,,,missing_result_for_key
2026-07-07,Switzerland,Colombia,False,,scheduled,,,missing_result_for_key
2026-07-11,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-11,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-12,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-12,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-14,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-15,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
2026-07-19,TBD,TBD,False,,waiting_for_teams,,,missing_result_for_key
